;;PA_1m;;PA_Stat1h;;PA_Stat1h;;PA_Stat1h;;TA_1m;;TA_Stat1h;;TA_Stat1h;;TA_Stat1h;;RH_1m;;RH_Stat1h;;RH_Stat1h;;RH_Stat1h;;DP_1m;;DP_Stat1h;;DP_Stat1h;;DP_Stat1h;;SR_1m;;SR_Stat1h;;SR_Stat1h;;SR_Stat1h;;PR_Sum;
time;status;Avg;status;Avg;status;Max;status;Min;status;Avg;status;Avg;status;Max;status;Min;status;Avg;status;Avg;status;Max;status;Min;status;DP;status;Avg;status;Max;status;Min;status;Avg;status;Avg;status;Max;status;Min;status;PR_Sum1h;
1/1/21 12:00:07 AM;VALID;998.837;VALID;998.926;VALID;998.992;VALID;998.837;VALID;24.578;VALID;24.823;VALID;25.054;VALID;24.575;VALID;78.097;VALID;76.924;VALID;78.758;VALID;75.864;VALID;20.506;VALID;20.496;VALID;20.884;VALID;20.253;VALID;0.056;VALID;0.011;VALID;0.112;VALID;0.0;VALID;0.0;
1/1/21 1:00:07 AM;VALID;998.323;VALID;998.589;VALID;998.884;VALID;998.279;VALID;23.766;VALID;24.151;VALID;24.571;VALID;23.605;VALID;81.011;VALID;79.703;VALID;83.554;VALID;76.77;VALID;20.31;VALID;20.415;VALID;20.973;VALID;20.092;VALID;0.037;VALID;0.033;VALID;0.112;VALID;0.0;VALID;0.0;
1/1/21 2:00:06 AM;VALID;997.658;VALID;997.994;VALID;998.326;VALID;997.658;VALID;23.213;VALID;23.183;VALID;23.766;VALID;22.643;VALID;87.077;VALID;86.959;VALID;92.2;VALID;81.047;VALID;20.941;VALID;20.881;VALID;21.361;VALID;20.337;VALID;0.0;VALID;0.032;VALID;0.112;VALID;0.0;VALID;0.0;
1/1/21 3:00:06 AM;VALID;997.716;VALID;997.673;VALID;997.725;VALID;997.615;VALID;22.728;VALID;23.067;VALID;23.575;VALID;22.728;VALID;90.998;VALID;88.494;VALID;90.998;VALID;83.999;VALID;21.181;VALID;21.057;VALID;21.43;VALID;20.579;VALID;0.0;VALID;0.002;VALID;0.056;VALID;0.0;VALID;0.0;
1/1/21 4:00:06 AM;VALID;997.533;VALID;997.627;VALID;997.722;VALID;997.516;VALID;21.96;VALID;22.027;VALID;22.722;VALID;21.758;VALID;95.955;VALID;94.611;VALID;96.188;VALID;91.005;VALID;21.285;VALID;21.119;VALID;21.285;VALID;20.966;VALID;0.0;VALID;0.0;VALID;0.019;VALID;0.0;VALID;0.0;
1/1/21 5:00:06 AM;VALID;997.814;VALID;997.579;VALID;997.818;VALID;997.479;VALID;21.778;VALID;21.921;VALID;22.1;VALID;21.741;VALID;97.161;VALID;96.093;VALID;97.163;VALID;94.988;VALID;21.307;VALID;21.269;VALID;21.425;VALID;21.156;VALID;0.0;VALID;0.0;VALID;0.019;VALID;0.0;VALID;0.0;
1/1/21 6:00:06 AM;VALID;998.695;VALID;998.261;VALID;998.695;VALID;997.815;VALID;21.693;VALID;21.669;VALID;21.774;VALID;21.54;VALID;96.42;VALID;97.211;VALID;97.772;VALID;96.42;VALID;21.097;VALID;21.206;VALID;21.334;VALID;21.077;VALID;3.252;VALID;0.41;VALID;3.252;VALID;0.0;VALID;0.0;
1/1/21 7:00:06 AM;VALID;999.219;VALID;998.978;VALID;999.235;VALID;998.677;VALID;23.852;VALID;22.161;VALID;23.852;VALID;21.656;VALID;88.683;VALID;94.456;VALID;96.869;VALID;88.683;VALID;21.868;VALID;21.227;VALID;21.868;VALID;20.989;VALID;106.536;VALID;47.694;VALID;106.536;VALID;3.308;VALID;0.0;
1/1/21 8:00:06 AM;VALID;999.82;VALID;999.533;VALID;999.822;VALID;999.219;VALID;26.593;VALID;24.871;VALID;26.76;VALID;23.849;VALID;79.267;VALID;85.16;VALID;88.29;VALID;77.668;VALID;22.704;VALID;22.199;VALID;22.822;VALID;21.648;VALID;295.278;VALID;197.968;VALID;295.278;VALID;107.041;VALID;0.0;
